metric,value,notes
connected_ues,16/16,"confirmed via AMF UE table post-traffic, all 5GMM-REGISTERED"
pdu_sessions_established,16/16,"unchanged from pre-traffic health gate; not re-enumerated per-session post-traffic (AMF registration table used as the post-traffic proxy check)"
f1_status,UP,"CU/DU processes alive throughout, 0 F1-related error/disconnect log lines during traffic window"
ngap_status,UP,"16/16 REGISTERED post-traffic, 0 NGAP errors in AMF log tail"
pfcp_status,UP,"0 error/fail/reject keywords in SMF or UPF logs across the traffic window"
aggregate_offered_throughput_bps,24132009,"sum of each UE's own average offered bps over its own send window (flows were concurrent but of differing duration -- see traffic_volume_summary.csv for per-profile durations); ~99.97% of this total is VoD+LiveVideo"
aggregate_offered_bytes,90023339,"sum of bytes actually sent by all 16 UEs across the full ~71s test wall-clock span"
aggregate_packet_loss_ping_profiles_pct,0,"0/50, 0/20, 0/20, 0/100 for every mMTC/Web/Mobile/V2X UE -- fully lossless at the ICMP layer"
aggregate_packet_loss_iperf_profiles,NOT_MEASURABLE,"VoD/LiveVideo (4 UEs, iperf3 UDP): each client hit 'control socket has closed unexpectedly' before the server returned its final receiver-side report; true delivered-side loss for these 4 flows was never obtained. Do not read the 0% shown in raw iperf3 output as a confirmed value -- see README limitations"
prb_utilization,NOT_AVAILABLE,"not exposed in DU/CU log output in this OAI build, consistent with every prior stage (1/4/8/16-UE) in this project"
du_cpu_pct_before,148,"pid 86555 (real DU worker, corrected from a PID-detection bug in 08_test_connectivity.sh that had picked the sudo wrapper PID -- see README); of 1000% max on a 10-core host"
du_cpu_pct_during,NOT_CAPTURED,"the sixprofile script's automated DURING/AFTER snapshots used the buggy PID and recorded 0.0% for all three timepoints; only a corrected point-in-time reading taken ~10 min after test completion (148%) is available -- see README limitations"
du_cpu_pct_after,NOT_CAPTURED,"same PID-detection bug; see du_cpu_pct_before note"
cu_cpu_pct_point_reading,5.4,"pid 86174 (real CU worker); same PID-detection-bug caveat as DU applies to the automated timeline"
host_mem_free_before_mb,8353,"from cpu_timeline.txt, valid (memory reading was not affected by the PID bug)"
host_mem_free_during_mb,8349,"t=15s into the ~71s run"
host_mem_free_after_mb,8190,"~163MB net additional consumption across the test, consistent with 4 concurrent iperf3 client/server buffer allocations plus 16 concurrent ping processes"
ue_health_post_traffic,16/16 healthy,"all 16 in 5GMM-REGISTERED state, 0 new errors/fails/rejects in amf/smf/upf logs since traffic start, all 36 nr-uesoftmodem processes (UE1 native + UE2-16 namespaced, incl. child threads) still running"
