ue_id,imsi,amf_to_smf_pdu_session_processing_latency_ms,end_to_end_bearer_establishment_latency_ms,note
1,208950000000031,7.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
2,208950000000032,6.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
3,208950000000033,7.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
4,208950000000034,7.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
5,208950000000035,5.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
6,208950000000036,5.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
7,208950000000037,4.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
8,208950000000038,6.0,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
9,208950000000039,6.3,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
10,208950000000040,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
11,208950000000041,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
12,208950000000042,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
13,208950000000043,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
14,208950000000044,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
15,208950000000045,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
16,208950000000046,STALLED,NOT_MEASURABLE,"UE logs untimestamped and DU stdout inaccessible, so end-to-end bearer establishment latency is not measurable in this setup for any UE, in any stage. AMF->SMF leg is a distinct, narrower measurement (SM-context/PDU-session processing only) and is STALLED (no value) for UE10-16 since SMF never dispatched a response."
